search_term,ad_id,page_name,page_id,status,platforms,display_format,ad_title,ad_copy_preview,caption,cta_text,link_url,start_date,stop_date,total_active_days,impressions,spend_lower,spend_upper,currency,page_likes,collation_count,categories,targeted_countries,page_profile_url,collected_at
Uniqlo,26296606839975371,Uniqlo Indonesia,302580029860149,ACTIVE,INSTAGRAM,DPA,N/A,"Dapatkan koleksi luaran UNIQLO. Belanja sekarang di UNIQLO Web or App.

#UniqloIndonesia #UniqloLifeWear | Dapatkan koleksi luaran UNIQLO. Belanja sekarang di UNIQLO Web or App.

#UniqloIndonesia #Uni",uniqlo.com,Shop now,https://www.uniqlo.com/id/id/women/outerwear,2026-02-20,2026-04-02,40,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,33862885850026337,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app. | Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app.",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-11,2026-04-01,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1387809332624062,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini. | Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini.,play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-11,2026-04-01,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1387923719233968,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app. | Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app.",itunes.apple.com,Shop now,http://itunes.apple.com/app/id867569998,2026-02-11,2026-04-01,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,2706949092984652,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini. | Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini.,play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-11,2026-04-01,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,869924292529367,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER",DCO,{{product.name}},"Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app. | Ada beragam pilihan bahan, model, dan juga warna. Yuk, eksplor di app.",play.google.com,Shop now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-11,2026-04-01,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,2.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,796541326068757,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini. | Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini.,play.google.com,Install now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-10,2026-03-31,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,892902840012276,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Ada beragam pilihan bahan, model, dan juga warna. Yuk, download & eksplor di app. | Ada beragam pilihan bahan, model, dan juga warna. Yuk, download & eksplor di app.",play.google.com,Install now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-10,2026-04-01,49,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1201204898660494,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini. | Dapatkan Welcome Coupon khusus untuk pengguna pertama. Download aplikasi UNIQLO di sini.,play.google.com,Install now,http://play.google.com/store/apps/details?id=com.uniqlo.id.catalogue,2026-02-10,2026-03-31,48,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
Uniqlo,1925433281733819,Uniqlo Indonesia,302580029860149,ACTIVE,"FACEBOOK, INSTAGRAM, AUDIENCE_NETWORK, MESSENGER, THREADS",DCO,{{product.name}},"Khusus JABODETABEK, pesan di aplikasi & ambil di toko pilihanmu dalam 2 jam. Cek di sini. | Khusus JABODETABEK, pesan di aplikasi & ambil di toko pilihanmu dalam 2 jam. Cek di sini.",itunes.apple.com,Shop now,http://itunes.apple.com/app/id867569998,2025-12-11,2026-04-01,110,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,327786.0,1.0,UNKNOWN,N/A,https://www.facebook.com/UniqloIndonesiaOfficial/,2026-04-02 18:36:58
